ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	canopy	treetype	treeheight	treenumber	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
401	1	202841.503	6864868.918	442.3888208	35.410385	180.8425	0.23149335	0.249144718	-0.6535139	-0.7569145	0	3	0	0	2	109.3063	11.303511	2	2	0	1	4.79579054559674
402	1	197370.8582	6867450.296	589.6103149	27.490936	200.47404	-1.1696315	-1.776613832	0.7726187	0.63487035	100	3	155	1509	1.65	114.3985	9.857598	3	3	1	1	6.24610676548156
403	1	197474.5465	6867767.653	539.8136548	34.888268	200.47404	-0.24459805	-1.200291395	0.6495062	-0.76035625	100	3	120	2561	1.65	114.3985	9.857598	2	2	0	1	2.99573227355399
404	1	197545.5342	6867880.951	541.1532886	36.019543	200.47404	-0.43893692	-5.81618309	0.7028894	-0.7112991	92	2	153	616	1.65	114.3985	9.857598	2	2	0	1	3.93182563272433
405	1	199515.9159	6868419.577	555.857876	27.612099	191.2895	-8.482	0.888302565	-0.92322046	-0.38427073	17	3	79	189	1.7	106.390594	9.477036	2	2	1	1	4.89034912822175
406	1	197245.9104	6868559.028	680.5833081	24.913906	200.9776	-1.005023	-0.199124604	0.8922177	0.45160553	0	2	45	732	1.6521739	116.158104	9.909207	3	2	1	1	4.60517018598809
408	1	191635.8426	6873366.077	555.8845972	25.378813	215.69637	0.5046178	-1.360089183	-0.3377188	0.94124705	100	3	122	2383	1.6363636	120.4472	9.242739	2	2	0	1	4.14313472639153
409	1	191115.7289	6873615.656	395.222627	26.267267	215.69637	2.498173	-3.800938368	-0.39471552	0.9188034	100	3	123	2223	1.6363636	120.4472	9.28117	3	4	0	1	7.28344822875663
410	1	190361.4306	6872800.582	521.278479	27.76172	219.09906	0.7638264	-0.665870905	0.47227913	0.88144904	96	1	200	1546	1.6956521	120.46349	8.919652	3	2	1	1	4.8283137373023
411	1	189467.7997	6872751.64	482.2874829	26.06253	219.52226	-1.1838902	-0.555086493	-0.5270362	0.84984285	100	2	145	1880	1.7142857	118.6009	8.56855	3	4	1	1	3.97029191355212
412	1	188038.2118	6872476.358	455.9461951	28.400871	218.87854	0.07378055	-3.709920645	-0.38809282	0.9216203	100	2	167	1627	1.6190476	116.5105	8.380469	3	4	0	2	6.50876913697168
413	1	187731.4423	6872448.782	456.1642603	31.156229	217.56088	1.9446474	0.725746036	-0.29280856	0.9561711	100	3	118	2233	1.7777778	114.264305	8.526359	3	4	0	1	5.59098698051086
414	1	187585.0136	6872357.184	458.8905176	26.219513	217.56088	1.3304278	-1.897252917	-0.48800457	0.87284106	100	3	115	2351	1.7777778	114.264305	8.785622	3	4	0	1	7.94803199063728
415	1	187409.1407	6872143.618	540.7952319	31.486553	217.56088	-0.73134226	-0.822240651	0.2939719	0.95581406	96	1	206	1398	1.7777778	114.264305	8.785622	3	4	0	1	7.67600993202889
