ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
553	1	178406.2451	6851075.793	1145.155234	23.471409	182.23698	1.3414598	-0.171704277	-0.78558505	-0.61875373	1.4117647	170.3326	13.643028	3	2	1	1	3.04452243772342
554	1	179108.9701	6850386.064	1130.885083	28.868843	180.84532	-2.516162	-3.750478268	0.07935412	-0.9968465	1.4081633	166.29161	13.4224	3	5	1	1	6.73578001424233
555	1	180264.2846	6849824.776	1062.993833	27.801184	179.17464	-3.5555487	1.201443553	0.13895549	-0.9902986	1.5	159.3808	13.434375	3	2	1	2	1.79175946922805
556	1	181571.1013	6849694.195	949.2852417	35.966423	179.82245	1.3772782	-5.479958057	0.7785687	-0.6275594	1.6111112	155.09709	13.148349	3	3	1	1	1.6094379124341
557	1	190155.8578	6853488.214	697.1652368	28.883871	193.84012	1.7347764	0.358106494	0.14502807	-0.98942757	1.7083334	148.7498	11.986893	3	4	1	1	5.89715386763674
558	1	190423.6647	6853514.85	691.1459741	31.237846	193.84012	0.9859353	-6.136955261	0.10067607	-0.99491924	1.7083334	148.7498	11.986893	3	4	1	1	4.04305126783455
559	1	211497.0685	6853713.012	352.7653369	24.050613	182.9755	-2.6872902	0.63970685	0.8971297	0.4417672	1.5294118	132.5627	9.856472	3	4	0	1	3.49650756146648
560	1	204952.8535	6872029.026	589.4956152	30.587776	164.9513	-2.6112823	-2.563303709	0.9092786	-0.416188	1.6206896	89.4733	8.432381	3	4	1	1	6.95939851213398
561	1	174213.8031	6740278.103	201.4242163	23.549614	154.9454	-8.953007	1.668483019	0.86428666	0.50299954	1.882353	112.7879	10.553832	3	5	0	1	5.13579843705026
562	1	169162.5654	6746676.937	430.6936548	24.08495	148.355	-3.949756	1.402026296	-0.6513837	-0.75874853	1.5666667	112.1394	9.03772	2	4	1	1	5.08759633523238
563	1	98556.82454	6797800.689	641.0518604	44.55363	152.02023	-3.7173166	3.597722292	-0.24925627	-0.96843755	1.0769231	86.1775	9.558058	3	3	1	4	8.39615486303918
564	1	218174.8036	6865183.265	598.0153809	46.674988	134.84297	8.047391	-1.858859181	0.68851	-0.7252269	1.4782609	100.8358	11.25316	1	4	0	5	3.63758615972639
565	1	218195.2053	6865189.175	590.8751636	40.62673	134.84297	1.3824798	-2.152432442	0.5430262	-0.8397157	1.4782609	100.8358	11.25316	1	4	0	5	3.78418963391826
